    plate[10]: 14587 samples, 19987 mesh verts, 38617 tris
    plate[11]: 12940 samples, 16928 mesh verts, 32839 tris
    plate[12]: 10957 samples, 19964 mesh verts, 39005 tris
    plate[13]: 6851 samples, 8813 mesh verts, 17009 tris
    plate[14]: 12114 samples, 20905 mesh verts, 40449 tris
    plate[15]: 6411 samples, 16020 mesh verts, 30885 tris
    plate[16]: 5184 samples, 11265 mesh verts, 21820 tris
    plate[17]: 5007 samples, 9057 mesh verts, 17391 tris
    plate[18]: 12765 samples, 17519 mesh verts, 34119 tris
    plate[19]: 9583 samples, 14460 mesh verts, 27919 tris
    plate[20]: 5589 samples, 11394 mesh verts, 21884 tris
    plate[21]: 6000 samples, 11320 mesh verts, 21833 tris
    plate[22]: 15002 samples, 21385 mesh verts, 41656 tris
    plate[23]: 0 samples, 103 mesh verts, 86 tris
    plate[24]: 7470 samples, 8706 mesh verts, 16776 tris
    plate[25]: 6626 samples, 10731 mesh verts, 20683 tris
    plate[26]: 16854 samples, 32031 mesh verts, 37391 tris
    plate[27]: 3807 samples, 9725 mesh verts, 18323 tris
    plate[28]: 4743 samples, 12876 mesh verts, 24629 tris
    plate[29]: 7266 samples, 9058 mesh verts, 17164 tris
    plate[30]: 3464 samples, 12586 mesh verts, 23907 tris
    plate[31]: 8255 samples, 10242 mesh verts, 19719 tris
    plate[32]: 10173 samples, 13746 mesh verts, 26342 tris
    plate[33]: 4840 samples, 10788 mesh verts, 20814 tris
    plate[34]: 7968 samples, 11672 mesh verts, 22598 tris
    plate[35]: 7515 samples, 8569 mesh verts, 16473 tris
    plate[36]: 6989 samples, 14146 mesh verts, 27069 tris
    plate[37]: 3591 samples, 8948 mesh verts, 16938 tris
    plate[38]: 7638 samples, 11573 mesh verts, 22387 tris
    plate[39]: 8638 samples, 19385 mesh verts, 37340 tris
  crust: cont=162727 (31.3%) ocean=357359 below_sea=0 elev=[2.000,166.307] avg=15.289 andean=833 himalayan=32017
  isolated vertices: cont_in_ocean=369 ocean_in_cont=285
  after assign_samples step=11: assigned=296951/500000 gap=203049 plates=40
    plate[0]: 6560 samples, 9122 mesh verts, 17504 tris
    plate[1]: 7323 samples, 11203 mesh verts, 21500 tris
    plate[2]: 5745 samples, 12178 mesh verts, 23448 tris
    plate[3]: 7138 samples, 11637 mesh verts, 22344 tris
    plate[4]: 5888 samples, 8341 mesh verts, 16015 tris
    plate[5]: 4042 samples, 15425 mesh verts, 29893 tris
    plate[6]: 8238 samples, 11500 mesh verts, 22001 tris
    plate[7]: 7229 samples, 10995 mesh verts, 21282 tris
    plate[8]: 8633 samples, 11304 mesh verts, 21902 tris
    plate[9]: 5589 samples, 14617 mesh verts, 27846 tris
    plate[10]: 14189 samples, 19993 mesh verts, 38623 tris
    plate[11]: 12632 samples, 16936 mesh verts, 32847 tris
